NAME	SIZE	ES	NES	NOM_p-val	FDR_q-val	FWER_p-val	RANK_AT_MAX	LEADING_EDGE			
GOBP_PLACENTA_DEVELOPMENT	95	0.38784617	1.1949494	0.1756487	0.8659458	1	2386	"tags=37%,"	"list=23%,"	signal=47%	
GOBP_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	112	0.428999	1.3530822	0.056818184	0.865963	1	1461	"tags=23%,"	"list=14%,"	signal=27%	
GOBP_PEPTIDYL_CYSTEINE_MODIFICATION	32	0.38658398	1.1978531	0.23166023	0.86613387	1	2188	"tags=25%,"	"list=21%,"	signal=31%	
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	24	0.45308465	1.2007526	0.22200772	0.86622393	1	949	"tags=25%,"	"list=9%,"	signal=27%	
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	34	0.4535509	1.2017417	0.2112403	0.86642414	1	979	"tags=21%,"	"list=9%,"	signal=23%	
GOBP_MOTILE_CILIUM_ASSEMBLY	35	0.44988438	1.171214	0.20421052	0.8664647	1	1528	"tags=31%,"	"list=14%,"	signal=37%	
GOBP_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	22	0.50745595	1.3539888	0.05421687	0.86647254	1	1658	"tags=32%,"	"list=16%,"	signal=38%	
GOBP_NEGATIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	25	0.43811113	1.1714004	0.26242545	0.8676413	1	475	"tags=12%,"	"list=4%,"	signal=13%	
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS	142	0.27797797	1.1950166	0.11020408	0.8679108	1	2648	"tags=24%,"	"list=25%,"	signal=31%	
GOBP_CARBOHYDRATE_TRANSPORT	88	0.35641515	1.1969739	0.10240964	0.86791694	1	1486	"tags=23%,"	"list=14%,"	signal=26%	
GOBP_INTERMEMBRANE_LIPID_TRANSFER	35	0.40088397	1.2065486	0.15789473	0.86806536	1	2693	"tags=37%,"	"list=25%,"	signal=50%	
GOBP_MEMBRANE_INVAGINATION	53	0.40571415	1.1964487	0.2074364	0.8681325	1	2417	"tags=26%,"	"list=23%,"	signal=34%	
GOBP_MATURATION_OF_5_8S_RRNA	25	0.48967925	1.168206	0.28373015	0.86822134	1	2886	"tags=48%,"	"list=27%,"	signal=66%	
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	209	0.299371	1.169444	0.16829745	0.86835736	1	1691	"tags=19%,"	"list=16%,"	signal=22%	
GOBP_RECEPTOR_CATABOLIC_PROCESS	18	0.46139252	1.1677366	0.27559054	0.86849165	1	2199	"tags=33%,"	"list=21%,"	signal=42%	
GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	47	0.33275026	1.168557	0.24159664	0.8684925	1	3310	"tags=34%,"	"list=31%,"	signal=49%	
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	163	0.28750312	1.1958393	0.14604463	0.8685986	1	1994	"tags=19%,"	"list=19%,"	signal=23%	
GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	92	0.28493297	1.1698049	0.17206478	0.8687349	1	2648	"tags=25%,"	"list=25%,"	signal=33%	
GOBP_DIGESTIVE_SYSTEM_PROCESS	56	0.39303043	1.1715713	0.1539961	0.86885166	1	1997	"tags=29%,"	"list=19%,"	signal=35%	
GOBP_VESICLE_ORGANIZATION	229	0.27208117	1.1952794	0.13141684	0.86899674	1	1870	"tags=15%,"	"list=18%,"	signal=18%	
GOBP_ENGULFMENT_OF_APOPTOTIC_CELL	16	0.4900423	1.1723795	0.25868726	0.86933047	1	1500	"tags=25%,"	"list=14%,"	signal=29%	
GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	119	0.3507381	1.1700912	0.16867469	0.8693834	1	722	"tags=13%,"	"list=7%,"	signal=14%	
GOBP_VESICLE_CARGO_LOADING	20	0.42223057	1.2067344	0.2	0.8695537	1	1091	"tags=10%,"	"list=10%,"	signal=11%	
GOBP_STEROID_HORMONE_SECRETION	23	0.50040036	1.1670781	0.24561404	0.86958146	1	1843	"tags=43%,"	"list=17%,"	signal=53%	
GOBP_DOUBLE_STRAND_BREAK_REPAIR	168	0.31309998	1.171714	0.1492248	0.8702616	1	2072	"tags=22%,"	"list=20%,"	signal=27%	
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	53	0.31764898	1.1686103	0.20366599	0.8702638	1	2798	"tags=26%,"	"list=26%,"	signal=36%	
GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS	473	0.24356106	1.1934454	0.097222224	0.87079966	1	2295	"tags=19%,"	"list=22%,"	signal=23%	
GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	325	0.28206384	1.1728532	0.12836438	0.871209	1	1077	"tags=10%,"	"list=10%,"	signal=10%	
GOBP_RESPONSE_TO_ACETYLCHOLINE	24	0.43528447	1.172384	0.25335893	0.8713198	1	1501	"tags=25%,"	"list=14%,"	signal=29%	
GOBP_OXIDATIVE_PHOSPHORYLATION	100	0.3404994	1.1920283	0.21073559	0.8726921	1	2939	"tags=40%,"	"list=28%,"	signal=55%	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	17	0.43462014	1.1915346	0.24409449	0.87278897	1	741	"tags=18%,"	"list=7%,"	signal=19%	
GOBP_PHOSPHOLIPID_TRANSLOCATION	33	0.42951033	1.1728858	0.20594059	0.8731198	1	931	"tags=15%,"	"list=9%,"	signal=17%	
GOBP_PROTEIN_DESTABILIZATION	33	0.40823016	1.1923819	0.20824742	0.8733319	1	369	"tags=9%,"	"list=3%,"	signal=9%	
GOBP_CGMP_MEDIATED_SIGNALING	21	0.5270616	1.1908224	0.2038835	0.87398285	1	1297	"tags=33%,"	"list=12%,"	signal=38%	
GOBP_DETECTION_OF_LIGHT_STIMULUS	34	0.46572596	1.1898229	0.18163672	0.87403643	1	1368	"tags=32%,"	"list=13%,"	signal=37%	
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	99	0.30908418	1.17723	0.18217821	0.87404346	1	2393	"tags=28%,"	"list=23%,"	signal=36%	
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION	16	0.5973114	1.6381452	0.026530612	0.87407094	0.947	236	"tags=13%,"	"list=2%,"	signal=13%	
GOBP_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	16	0.49176964	1.1731074	0.30057803	0.8741649	1	2067	"tags=31%,"	"list=20%,"	signal=39%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	33	0.3914304	1.176648	0.24737945	0.87453675	1	191	"tags=9%,"	"list=2%,"	signal=9%	
GOBP_POSITIVE_REGULATION_OF_ANION_TRANSPORT	35	0.43327764	1.1733377	0.25540274	0.8751096	1	1882	"tags=29%,"	"list=18%,"	signal=35%	
GOBP_RESPIRATORY_BURST	20	0.5173262	1.1900868	0.20841683	0.875142	1	1783	"tags=45%,"	"list=17%,"	signal=54%	
GOBP_TYPE_B_PANCREATIC_CELL_DEVELOPMENT	17	0.5179413	1.1550784	0.28244275	0.8751942	1	3291	"tags=65%,"	"list=31%,"	signal=94%	
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	380	0.32784918	1.1558377	0.21357286	0.87545055	1	1191	"tags=13%,"	"list=11%,"	signal=14%	
GOBP_POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	36	0.45007163	1.1652505	0.2405303	0.8757653	1	2653	"tags=36%,"	"list=25%,"	signal=48%	
GOBP_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	42	0.31579077	1.1884764	0.24557957	0.87583226	1	1999	"tags=19%,"	"list=19%,"	signal=23%	
GOBP_REGULATION_OF_TRANSCRIPTION_ELONGATION_BY_RNA_POLYMERASE_II	58	0.29640242	1.1880343	0.24409449	0.875854	1	2710	"tags=19%,"	"list=26%,"	signal=25%	
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE	18	0.4157894	1.1772668	0.23224568	0.8759749	1	2273	"tags=28%,"	"list=21%,"	signal=35%	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	153	0.34226698	1.1573795	0.1284585	0.8759831	1	1407	"tags=22%,"	"list=13%,"	signal=25%	
GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	26	0.45121613	1.1735506	0.24765478	0.876204	1	3443	"tags=54%,"	"list=32%,"	signal=80%	
GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT	34	0.42337888	1.1739473	0.27272728	0.8763778	1	1129	"tags=15%,"	"list=11%,"	signal=16%	
GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	19	0.47600362	1.1543617	0.2248062	0.87639076	1	690	"tags=21%,"	"list=7%,"	signal=22%	
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT	26	0.38436761	1.1560124	0.2983871	0.8765569	1	3371	"tags=54%,"	"list=32%,"	signal=79%	
GOBP_DETECTION_OF_VISIBLE_LIGHT	26	0.45874286	1.1538811	0.22903885	0.87658924	1	1290	"tags=31%,"	"list=12%,"	signal=35%	
GOBP_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	15	0.5038038	1.1747736	0.28256512	0.8767429	1	1731	"tags=20%,"	"list=16%,"	signal=24%	
GOBP_KINETOCHORE_ASSEMBLY	15	0.5604395	1.1756511	0.28460038	0.87690264	1	1644	"tags=33%,"	"list=16%,"	signal=39%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	20	0.49500102	1.1551025	0.24748491	0.8769883	1	1180	"tags=25%,"	"list=11%,"	signal=28%	
GOBP_VIRAL_TRANSCRIPTION	35	0.41728675	1.1742465	0.24193548	0.87700826	1	1905	"tags=31%,"	"list=18%,"	signal=38%	
GOBP_REGULATION_OF_RNA_SPLICING	101	0.3090775	1.1751633	0.21442495	0.87705183	1	2265	"tags=21%,"	"list=21%,"	signal=26%	
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	21	0.4761547	1.1886559	0.24366471	0.8772178	1	1911	"tags=29%,"	"list=18%,"	signal=35%	
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS	101	0.32248166	1.177407	0.16032064	0.8775014	1	2037	"tags=24%,"	"list=19%,"	signal=29%	
GOBP_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	15	0.40928614	1.1574138	0.2992278	0.8776942	1	495	"tags=7%,"	"list=5%,"	signal=7%	
GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	21	0.4598647	1.1578187	0.248	0.8777605	1	1402	"tags=29%,"	"list=13%,"	signal=33%	
GOBP_NEURAL_NUCLEUS_DEVELOPMENT	40	0.33539087	1.1526929	0.28256512	0.87783265	1	3371	"tags=45%,"	"list=32%,"	signal=66%	
GOBP_NCRNA_CATABOLIC_PROCESS	28	0.38991517	1.1560955	0.2773585	0.8780917	1	2037	"tags=21%,"	"list=19%,"	signal=26%	
GOBP_NATURAL_KILLER_CELL_ACTIVATION	45	0.40371287	1.1616435	0.20233463	0.8781584	1	1481	"tags=22%,"	"list=14%,"	signal=26%	
GOBP_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	15	0.48746207	1.1851094	0.23493975	0.8783097	1	67	"tags=7%,"	"list=1%,"	signal=7%	
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS	44	0.32882845	1.150417	0.26815644	0.8784242	1	2483	"tags=25%,"	"list=23%,"	signal=33%	
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	176	0.33639896	1.1580722	0.13636364	0.8785462	1	1665	"tags=24%,"	"list=16%,"	signal=29%	
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	63	0.3014678	1.1619188	0.2485437	0.8788558	1	2265	"tags=22%,"	"list=21%,"	signal=28%	
GOBP_NEURON_FATE_COMMITMENT	38	0.45522657	1.1636863	0.26266417	0.87888366	1	2200	"tags=32%,"	"list=21%,"	signal=40%	
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	31	0.4052461	1.1623437	0.25754526	0.87894267	1	1273	"tags=16%,"	"list=12%,"	signal=18%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	16	0.410118	1.1863458	0.26008064	0.87911165	1	1501	"tags=19%,"	"list=14%,"	signal=22%	
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	25	0.49816948	1.1627282	0.2581262	0.87912995	1	3291	"tags=56%,"	"list=31%,"	signal=81%	
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION	125	0.30559066	1.1839602	0.15587045	0.87920105	1	2067	"tags=19%,"	"list=20%,"	signal=24%	
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	268	0.2920284	1.156228	0.11287129	0.879364	1	1593	"tags=17%,"	"list=15%,"	signal=19%	
GOBP_AXONEME_ASSEMBLY	53	0.4646944	1.17745	0.22465208	0.87939435	1	1585	"tags=40%,"	"list=15%,"	signal=46%	
GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	30	0.4405804	1.1527101	0.25447315	0.8796028	1	2095	"tags=37%,"	"list=20%,"	signal=46%	
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION	162	0.30279803	1.1852912	0.1627451	0.8796669	1	942	"tags=11%,"	"list=9%,"	signal=12%	
GOBP_CELL_PROJECTION_ASSEMBLY	360	0.29662147	1.163916	0.15737052	0.8798057	1	1585	"tags=18%,"	"list=15%,"	signal=20%	
GOBP_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	22	0.54548913	1.6051506	0.030549899	0.87989634	0.978	463	"tags=9%,"	"list=4%,"	signal=9%	
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH	107	0.30854106	1.1517811	0.17300381	0.87990165	1	1553	"tags=18%,"	"list=15%,"	signal=21%	
GOBP_PHOSPHATIDIC_ACID_METABOLIC_PROCESS	23	0.42442757	1.15816	0.24950884	0.8801011	1	1145	"tags=17%,"	"list=11%,"	signal=19%	
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	23	0.41151804	1.150454	0.29577464	0.8801052	1	811	"tags=13%,"	"list=8%,"	signal=14%	
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	292	0.2829861	1.1629021	0.15506959	0.8802705	1	2439	"tags=27%,"	"list=23%,"	signal=34%	
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS	183	0.24565126	0.98806727	0.48846152	0.88029236	1	2439	"tags=23%,"	"list=23%,"	signal=29%	
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	85	0.3420654	1.1507747	0.22287968	0.8806109	1	1779	"tags=21%,"	"list=17%,"	signal=25%	
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS	199	0.28038603	0.98313016	0.5009862	0.88070804	1	1828	"tags=21%,"	"list=17%,"	signal=24%	
GOBP_REGULATION_OF_PROTEIN_STABILITY	202	0.2688036	1.1776158	0.18125	0.88077265	1	2649	"tags=24%,"	"list=25%,"	signal=32%	
GOBP_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	34	0.3605409	0.9881967	0.46938777	0.88078463	1	1220	"tags=18%,"	"list=12%,"	signal=20%	
GOBP_REGULATION_OF_EXOCYTOSIS	135	0.26049486	0.9884171	0.49416342	0.8809183	1	796	"tags=7%,"	"list=8%,"	signal=8%	
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION	42	0.393169	1.184039	0.25343812	0.8810367	1	1942	"tags=26%,"	"list=18%,"	signal=32%	
GOBP_MICROTUBULE_BUNDLE_FORMATION	74	0.4336548	1.1863959	0.22132796	0.881073	1	1699	"tags=34%,"	"list=16%,"	signal=40%	
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS	96	0.30343378	0.9840499	0.49804688	0.88107574	1	1229	"tags=17%,"	"list=12%,"	signal=19%	
GOBP_HIPPOCAMPUS_DEVELOPMENT	63	0.34867752	1.1583419	0.23742455	0.88124853	1	1382	"tags=13%,"	"list=13%,"	signal=15%	
GOBP_REGULATION_OF_GROWTH	380	0.26363975	0.98344934	0.4790419	0.88142776	1	2082	"tags=22%,"	"list=20%,"	signal=27%	
GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	109	0.278853	0.9831746	0.5060729	0.8814481	1	1937	"tags=19%,"	"list=18%,"	signal=23%	
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS	233	0.25735122	0.9841979	0.5062241	0.8814796	1	1844	"tags=18%,"	"list=17%,"	signal=21%	
GOBP_METAPHASE_PLATE_CONGRESSION	47	0.40271103	1.1509908	0.24746451	0.8814936	1	1180	"tags=17%,"	"list=11%,"	signal=19%	
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	82	0.3402064	1.1853592	0.21722114	0.8815465	1	2933	"tags=43%,"	"list=28%,"	signal=59%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	25	0.4012344	0.97331655	0.47928995	0.8816745	1	1572	"tags=24%,"	"list=15%,"	signal=28%	
GOBP_GLUCOSE_IMPORT	40	0.3101607	0.9884581	0.4893617	0.88168687	1	949	"tags=18%,"	"list=9%,"	signal=19%	
GOBP_STRIATED_MUSCLE_TISSUE_DEVELOPMENT	145	0.30377525	0.9825375	0.5038168	0.88176084	1	2091	"tags=26%,"	"list=20%,"	signal=31%	
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	259	0.24147841	0.9761791	0.49601594	0.88177687	1	1195	"tags=11%,"	"list=11%,"	signal=12%	
GOBP_ANION_TRANSMEMBRANE_TRANSPORT	159	0.26982215	0.98704916	0.52277225	0.88187695	1	1445	"tags=15%,"	"list=14%,"	signal=17%	
GOBP_REGULATION_OF_HORMONE_METABOLIC_PROCESS	20	0.38707343	0.98892254	0.45983934	0.88192797	1	2091	"tags=30%,"	"list=20%,"	signal=37%	
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	138	0.26975432	0.9813736	0.49003986	0.8820166	1	2393	"tags=21%,"	"list=23%,"	signal=27%	
GOBP_OLIGODENDROCYTE_DEVELOPMENT	25	0.4111313	1.1586045	0.28100777	0.8820289	1	3744	"tags=60%,"	"list=35%,"	signal=93%	
GOBP_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE	21	0.32998672	0.9734723	0.4979253	0.8820353	1	2150	"tags=33%,"	"list=20%,"	signal=42%	
GOBP_REGULATION_OF_JNK_CASCADE	91	0.31541023	0.9835026	0.51272017	0.8821067	1	1345	"tags=19%,"	"list=13%,"	signal=21%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SECRETION	39	0.34791565	0.98724884	0.48080808	0.882135	1	2069	"tags=26%,"	"list=20%,"	signal=32%	
GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	42	0.3456356	0.98183453	0.499002	0.88229674	1	2314	"tags=36%,"	"list=22%,"	signal=46%	
GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	25	0.35592002	0.9842208	0.4665272	0.8823087	1	2653	"tags=32%,"	"list=25%,"	signal=43%	
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	70	0.2704188	0.97627974	0.49799198	0.88231325	1	2203	"tags=24%,"	"list=21%,"	signal=30%	
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	16	0.39923802	0.9890532	0.4717742	0.88238436	1	1402	"tags=31%,"	"list=13%,"	signal=36%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	19	0.48620087	1.158929	0.24902724	0.88243777	1	1572	"tags=32%,"	"list=15%,"	signal=37%	
GOBP_DEPHOSPHORYLATION	240	0.22138818	0.9815081	0.52008456	0.88246894	1	1575	"tags=12%,"	"list=15%,"	signal=13%	
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	298	0.30393025	1.1777155	0.16729324	0.88247824	1	2159	"tags=25%,"	"list=20%,"	signal=30%	
GOBP_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY	17	0.40294832	0.98849297	0.48653847	0.8824868	1	849	"tags=18%,"	"list=8%,"	signal=19%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	43	0.27144438	0.9941219	0.44558522	0.88249797	1	2080	"tags=19%,"	"list=20%,"	signal=23%	
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	153	0.26250318	0.98094755	0.48096192	0.8825017	1	2477	"tags=29%,"	"list=23%,"	signal=38%	
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS	84	0.28233534	0.9952189	0.47433266	0.8825161	1	2132	"tags=24%,"	"list=20%,"	signal=30%	
GOBP_PHOTORECEPTOR_CELL_DIFFERENTIATION	41	0.42449856	1.1490867	0.2559055	0.882551	1	1382	"tags=24%,"	"list=13%,"	signal=28%	
GOBP_MICROTUBULE_POLYMERIZATION	52	0.2757497	0.9764521	0.4832347	0.8825994	1	225	"tags=6%,"	"list=2%,"	signal=6%	
GOBP_REGIONALIZATION	209	0.31271797	0.9820014	0.507722	0.8826259	1	1911	"tags=22%,"	"list=18%,"	signal=26%	
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	60	0.3112572	0.97354215	0.5041494	0.8826758	1	2212	"tags=27%,"	"list=21%,"	signal=34%	
GOBP_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	28	0.35700294	0.98517907	0.51968503	0.8826826	1	1050	"tags=11%,"	"list=10%,"	signal=12%	
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION	18	0.41212875	0.9843382	0.4889336	0.882782	1	1215	"tags=22%,"	"list=11%,"	signal=25%	
GOBP_VESICLE_LOCALIZATION	129	0.19249193	0.9803049	0.48303393	0.88288474	1	1192	"tags=7%,"	"list=11%,"	signal=8%	
GOBP_MEGAKARYOCYTE_DEVELOPMENT	16	0.41388637	0.98058444	0.49590164	0.88289094	1	1876	"tags=25%,"	"list=18%,"	signal=30%	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	249	0.2586718	0.98537904	0.5119048	0.88292915	1	2206	"tags=26%,"	"list=21%,"	signal=32%	
GOBP_ERYTHROCYTE_HOMEOSTASIS	83	0.28423637	0.98482907	0.50292397	0.8829942	1	2361	"tags=23%,"	"list=22%,"	signal=29%	
GOBP_RESPONSE_TO_GROWTH_FACTOR	452	0.26698166	0.9845404	0.47976878	0.8830371	1	2339	"tags=23%,"	"list=22%,"	signal=28%	
GOBP_REPRODUCTIVE_BEHAVIOR	31	0.38499424	0.9944975	0.4675835	0.883071	1	2506	"tags=29%,"	"list=24%,"	signal=38%	
GOBP_DETECTION_OF_ABIOTIC_STIMULUS	75	0.3363212	0.99583507	0.46292585	0.8831706	1	1368	"tags=23%,"	"list=13%,"	signal=26%	
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	52	0.31293908	0.9890795	0.48814228	0.883211	1	2487	"tags=33%,"	"list=23%,"	signal=43%	
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS	168	0.251796	0.99418855	0.45041323	0.8832118	1	1999	"tags=18%,"	"list=19%,"	signal=22%	
GOBP_COCHLEA_DEVELOPMENT	32	0.3226028	0.9736343	0.5	0.883236	1	2240	"tags=25%,"	"list=21%,"	signal=32%	
GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	30	0.33515185	0.9764839	0.513834	0.8833554	1	1203	"tags=23%,"	"list=11%,"	signal=26%	
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	262	0.29117152	0.9952415	0.4576613	0.88337934	1	1735	"tags=21%,"	"list=16%,"	signal=25%	
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	21	0.40681273	0.9769953	0.46613547	0.88338125	1	1575	"tags=29%,"	"list=15%,"	signal=33%	
GOBP_REGULATION_OF_SECRETION	398	0.25822	0.9775045	0.5131313	0.8834367	1	1882	"tags=17%,"	"list=18%,"	signal=20%	
GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	15	0.45923212	0.97722703	0.4811133	0.8834579	1	2091	"tags=47%,"	"list=20%,"	signal=58%	
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	82	0.3725691	1.1779499	0.14398421	0.8835438	1	1584	"tags=22%,"	"list=15%,"	signal=26%	
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH	123	0.35023713	1.1591063	0.21242484	0.8835539	1	2791	"tags=36%,"	"list=26%,"	signal=48%	
GOBP_NOTCH_SIGNALING_PATHWAY	110	0.31375432	0.99460405	0.46138212	0.8836393	1	2356	"tags=25%,"	"list=22%,"	signal=31%	
GOBP_RESPONSE_TO_ESTROGEN	47	0.33783674	0.9854198	0.458	0.8836741	1	2278	"tags=28%,"	"list=21%,"	signal=35%	
GOBP_VESICLE_DOCKING	46	0.26699743	0.9924314	0.47117296	0.883688	1	1523	"tags=13%,"	"list=14%,"	signal=15%	
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION	51	0.30405715	0.9929687	0.48755187	0.8837184	1	1137	"tags=16%,"	"list=11%,"	signal=17%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	23	0.36265478	0.9935135	0.47047618	0.8837224	1	659	"tags=9%,"	"list=6%,"	signal=9%	
GOBP_REGULATION_OF_B_CELL_ACTIVATION	78	0.31202164	0.9932433	0.48809522	0.88373554	1	2120	"tags=28%,"	"list=20%,"	signal=35%	
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	271	0.25553662	0.9856461	0.5164609	0.88381046	1	1722	"tags=16%,"	"list=16%,"	signal=19%	
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS	149	0.24952778	0.9737097	0.49604744	0.88382316	1	1586	"tags=12%,"	"list=15%,"	signal=14%	
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	37	0.34223548	0.99185586	0.4755102	0.8838443	1	1840	"tags=30%,"	"list=17%,"	signal=36%	
GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY	28	0.39537114	0.99262625	0.47276264	0.88395625	1	1867	"tags=32%,"	"list=18%,"	signal=39%	
